id,title,corpus,poster,backdrop
19995,Avatar,Avatar 22nd century paraplegic Marine dispatched moon Pandora unique mission becomes torn following orders protecting alien civilization Enter World Pandora cultureclash future spacewar samworthington zoesaldana sigourneyweaver jamescameron action adventure fantasy,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg
285,Pirates of the Caribbean: At World's End,Pirates Caribbean Worlds End Captain Barbossa long believed dead come back life headed edge Earth Turner Elizabeth Swann nothing quite seems end world adventure begins ocean drugabuse exoticisland johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action,/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,/xQkk0i3FrNSq7DTBlxRf9XJhH7l.jpg
206647,Spectre,Spectre cryptic message Bondâs past sends trail uncover sinister organization battles political forces keep secret service alive Bond peels back layers deceit reveal terrible truth behind SPECTRE Plan One Escapes spy basedonnovel secretagent danielcraig christophwaltz lÃ©aseydoux sammendes action adventure crime,/672kUEMtTHcaVYSVY4eiHEliHFa.jpg,/8lBViysvNJBPkl6zG1LVAaW3qhj.jpg
49026,The Dark Knight Rises,Dark Knight Rises Following death District Attorney Harvey Dent Batman assumes responsibility Dents crimes protect late attorneys reputation subsequently hunted Gotham City Police Department Eight years later Batman encounters mysterious Selina Kyle villainous Bane new terrorist leader overwhelms Gothams finest Dark Knight resurfaces protect city branded enemy Legend Ends dccomics crimefighter terrorist christianbale michaelcaine garyoldman christophernolan action crime drama,/85cWkCVftiVs0BVey6pxX8uNmLt.jpg,/Yrpb32j3eMpMVX7ND3TnOkHnbl.jpg
49529,John Carter,John Carter John Carter warweary former military captain whos inexplicably transported mysterious exotic planet Barsoom Mars reluctantly becomes embroiled epic conflict world brink collapse Carter rediscovers humanity realizes survival Barsoom people rests hands Lost world found another basedonnovel mars medallion taylorkitsch lynncollins samanthamorton andrewstanton action adventure sciencefiction,/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg,/ubNevniKd5NYo60DqYIQ29T0uyB.jpg
559,Spider-Man 3,SpiderMan 3 seemingly invincible SpiderMan goes allnew crop villain â including shapeshifting Sandman SpiderManâs superpowers altered alien organism alter ego Peter Parker deals nemesis Eddie Brock also gets caught love triangle battle within dualidentity amnesia sandstorm tobeymaguire kirstendunst jamesfranco samraimi fantasy action adventure,/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,/w1oD1MzHjnBJc5snKupIQaSBLIh.jpg
99861,Avengers: Age of Ultron,Avengers Age Ultron Tony Stark tries jumpstart dormant peacekeeping program things go awry Earthâs Mightiest Heroes put ultimate test fate planet hangs balance villainous Ultron emerges Avengers stop enacting terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure New Age Come marvelcomic sequel superhero robertdowneyjr chrishemsworth markruffalo josswhedon action adventure sciencefiction,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg
209112,Batman v Superman: Dawn of Justice,Batman v Superman Dawn Justice Fearing actions godlike Super Hero left unchecked Gotham Cityâs formidable forceful vigilante takes Metropolisâs revered modernday savior world wrestles sort hero really needs Batman Superman war one another new threat quickly arises putting mankind greater danger itâs ever known before Justice revenge dccomics vigilante superhero benaffleck henrycavill galgadot zacksnyder action adventure fantasy,/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,/5fX1oSGuYdKgwWmUTAN5MNSQGzr.jpg
1452,Superman Returns,Superman Returns Superman returns discover 5year absence allowed Lex Luthor walk free closest felt abandoned moved on Luthor plots ultimate revenge could see millions killed change face planet forever well ridding Man Steel  savingtheworld dccomics invulnerability brandonrouth kevinspacey katebosworth bryansinger adventure fantasy action,/385XwTQZDpRX2d3kxtnpiLrjBXw.jpg,/8eRscFbRYl681zDfkjv1jjW1KAA.jpg
10764,Quantum of Solace,Quantum Solace Quantum Solace continues adventures James Bond Casino Royale Betrayed Vesper woman loved 007 fights urge make latest mission personal Pursuing determination uncover truth Bond interrogate Mr White reveals organization blackmailed Vesper far complex dangerous anyone imagined love hate justice revenge killing undercover secretagent danielcraig olgakurylenko mathieuamalric marcforster adventure action thriller,/e3DXXLJHGqMx9yYpXsql1XNljmM.jpg,/1tW2fJCE6vb7lAbBMOs3eYMuA7X.jpg
