id,title,corpus,poster,backdrop
206647,Spectre,Spectre cryptic message Bondâs past sends trail uncover sinister organization battles political forces keep secret service alive Bond peels back layers deceit reveal terrible truth behind SPECTRE Plan One Escapes spy basedonnovel secretagent danielcraig christophwaltz lÃ©aseydoux sammendes action adventure crime,/672kUEMtTHcaVYSVY4eiHEliHFa.jpg,/8lBViysvNJBPkl6zG1LVAaW3qhj.jpg
49026,The Dark Knight Rises,Dark Knight Rises Following death District Attorney Harvey Dent Batman assumes responsibility Dents crimes protect late attorneys reputation subsequently hunted Gotham City Police Department Eight years later Batman encounters mysterious Selina Kyle villainous Bane new terrorist leader overwhelms Gothams finest Dark Knight resurfaces protect city branded enemy Legend Ends dccomics crimefighter terrorist christianbale michaelcaine garyoldman christophernolan action crime drama,/85cWkCVftiVs0BVey6pxX8uNmLt.jpg,/Yrpb32j3eMpMVX7ND3TnOkHnbl.jpg
5174,Rush Hour 3,Rush Hour 3 attempted assassination Ambassador Han Inspector Lee Detective Carter back action head Paris protect French woman knowledge Triads secret leaders Lee also holds secret meetings United Nations authority personal struggles Chinese criminal mastermind named Kenji reveals Lees longlostbrother Rush On ambassador christucker jackiechan hiroyukisanada brettratner action comedy crime,/rZ7IxJlPhNNJ6Rn8z1rzsXuA70P.jpg,/ozsLB1HRCN6ZAmJN89pWtoiAwnb.jpg
155,The Dark Knight,Dark Knight Batman raises stakes war crime help Lt Jim Gordon District Attorney Harvey Dent Batman sets dismantle remaining criminal organizations plague streets partnership proves effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizens Gotham Joker Serious dccomics crimefighter secretidentity christianbale heathledger aaroneckhart christophernolan drama action crime,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,/dqK9Hag1054tghRQSqLSfrkvQnA.jpg
297761,Suicide Squad,Suicide Squad DC Comics comes Suicide Squad antihero team incarcerated supervillains act deniable assets United States government undertaking highrisk black ops missions exchange commuted prison sentences Worst Heroes Ever dccomics shareduniverse antihero willsmith margotrobbie joelkinnaman davidayer action adventure crime,/xFw9RXKZDvevAGocgBK0zteto4U.jpg,/zC70x9wqPPtxU99HsoGsxQ8IhSw.jpg
9799,The Fast and the Furious,Fast Furious Domenic Toretto Los Angeles street racer suspected masterminding series bigrig hijackings undercover cop Brian OConner infiltrates Torettos iconoclastic crew falls Torettos sister must choose side gang LAPD Live life 14 mile time streetgang carrace undercover paulwalker vindiesel michellerodriguez robcohen action crime thriller,/gqY0ITBgT7A82poL9jv851qdnIb.jpg,/jY9ef5nqY4xIIMu3yzW3qamUCoi.jpg
272,Batman Begins,Batman Begins Driven tragedy billionaire Bruce Wayne dedicates life uncovering defeating corruption plagues home Gotham City Unable work within system instead creates new identity symbol fear criminal underworld  Batman Evil fears knight himalaya martialarts dccomics christianbale michaelcaine liamneeson christophernolan action crime drama,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,/ew5FcYiRhTYNJAkxoVPMNlCOdVn.jpg
51497,Fast Five,Fast Five Former cop Brian OConner partners excon Dom Toretto opposite side law Since Brian Mia Toretto broke Dom custody theyve blown across many borders elude authorities backed corner Rio de Janeiro must pull one last job order gain freedom Get Fifth Gear brazil fbi freedom vindiesel paulwalker jordanabrewster justinlin action thriller crime,/h0Xsy4aomjMO47RpoHv8lnfbkoE.jpg,/lvSxooYCRuF3S2kHWXYTrcOtYco.jpg
58574,Sherlock Holmes: A Game of Shadows,Sherlock Holmes Game Shadows new criminal mastermind large Professor Moriarty Holmesâ intellectual equal capacity evil lack conscience may give advantage detective game afoot detectiveinspector steampunk criminalmastermind robertdowneyjr judelaw jaredharris guyritchie adventure action crime,/y1MYZkwhZK6L0Jy4YMuPktzDOfn.jpg,/lWNASscWXn32Asr9vkB1wq6cKvD.jpg
415,Batman & Robin,Batman  Robin Along crimefighting partner Robin new recruit Batgirl Batman battles dual threat frosty genius Mr Freeze homicidal horticulturalist Poison Ivy Freeze plans put Gotham City ice Ivy tries drive wedge dynamic duo Strength Courage Honor loyalty doublelife dccomics dualidentity georgeclooney chrisodonnell arnoldschwarzenegger joelschumacher action crime fantasy,/cGRDufDDSrFrv7VI4YnmWnslne0.jpg,/m4UT6yKXhXgbzxpeV35L4jLoJoP.jpg
163,Ocean's Twelve,Oceans Twelve Danny Ocean reunites old flame rest merry band thieves carrying three huge heists Rome Paris Amsterdam â Europol agent hot heels Twelve new eleven sequel fabergÃ©egg dutcheastindiancompany georgeclooney bradpitt catherinezetajones stevensoderbergh thriller crime,/Ad55M8newGWemFWCsMAkxO3fDwl.jpg,/5b5HrewiViLWEdMR4dmbd7ajQ8Q.jpg
40805,The Green Hornet,Green Hornet Britt Reid Seth Rogen heir largest newspaper fortune Los Angeles spoiled playboy been thus far happy lead aimless life father Tom Wilkinson dies Britt meets Kato Jay Chou resourceful company employee Realizing talent resources make something lives Britt Kato join forces costumed crimefighters bring citys mostpowerful criminal Chudnofsky Christoph Waltz Breaking Law Protect It bomb martialarts assassin sethrogen jaychou christophwaltz michelgondry action crime comedy,/q1fXWEoZXogYjAUy32pUc6NL2IH.jpg,/vZkco9fDVHSsrZrWuI2U2WpyOEy.jpg
9679,Gone in Sixty Seconds,Gone Sixty Seconds Upon learning come retirement steal 50 cars one night save brother Kips life former car thief Randall Memphis Raines enlists help boost happy pals accomplish seemingly impossible feat countless car chases relentless cops highoctane excitement builds Randall swerves around roadblocks keep Kip alive Ice Cold Hot Wired brotherbrotherrelationship detective carrace nicolascage angelinajolie giovanniribisi dominicsena action crime thriller,/qo5Ifam64rDlp4oprXGhK5X0qIs.jpg,/4GsvnaGqBGA78ccZusXvCH7zzun.jpg
11322,Public Enemies,Public Enemies Depressionera bank robber John Dillingers charm audacity endear much Americas downtrodden public hes also thorn side J Edgar Hoover fledgling FBI Desperate capture elusive outlaw Hoover makes Dillinger first Public Enemy Number One assigns top agent Melvin Purvis task bringing dead alive Americas Wanted cinema hidingplace machinegun christianbale johnnydepp giovanniribisi michaelmann history crime drama,/ezFQaPf4cOEfsl39Me0gSV29d7V.jpg,/4C2Usp4K9CEV0Idy9VJv6tVOLpW.jpg
4982,American Gangster,American Gangster Following death employer mentor Bumpy Johnson Frank Lucas establishes number one importer heroin Harlem district Manhattan buying heroin directly source South East Asia comes unique way importing drugs United States Based true story two sides American dream underdog blackpeople drugtraffic denzelwashington russellcrowe chiwetelejiofor ridleyscott drama crime,/sX9idXDqRUxE5ffww3n3RV5gL55.jpg,/qYx2AB7J3JsHA3xPfSMdLHRwDnc.jpg
18487,The Taking of Pelham 1 2 3,Taking Pelham 1 2 3 Armed men hijack New York City subway train holding passengers hostage return ransom turning ordinary days work dispatcher Walter Garber faceoff mastermind behind crime cant get head Im gonna die today hostage newyorkcity newyorksubway denzelwashington johntravolta luisguzmÃ¡n tonyscott thriller drama crime,/baRXNiLDOpz3rH3VyjhayhgkWll.jpg,/kBWPHSszi8jKLqW5tMaQV1bISB2.jpg
27581,The Other Guys,Guys NYPD detectives Christopher Danson Johnson PK Highsmith Jackson baddest beloved cops New York City get tattoos men get tattoos them Two desks one back sit detectives Allen Gamble Ferrell Terry Hoitz Wahlberg seen background photos Danson Highsmith focus eyes closed Theyre heroes theyre the guys every cop day soon Gamble Hoitz stumble seemingly innocuous case detective wants touch could turn NYCs biggest crime opportunity lives guys right stuff cops busy hope is narration ceo firetruck willferrell markwahlberg evamendes adammckay action comedy crime,/wNEHNqo3MgHmj3BUiPSqqq5czcm.jpg,/nHyri67CN6juBR6hmOefCn9oGf8.jpg
106646,The Wolf of Wall Street,Wolf Wall Street New York stockbroker refuses cooperate large securities fraud case involving corruption Wall Street corporate banking world mob infiltration Based Jordan Belforts autobiography EARN SPEND PARTY ,/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,/7Nwnmyzrtd0FkcRyPqmdzTPppQa.jpg
414,Batman Forever,Batman Forever Dark Knight Gotham City confronts dastardly duo TwoFace Riddler Formerly District Attorney Harvey Dent TwoFace believes Batman caused courtroom accident left disfigured one side Edward Nygma computergenius former employee millionaire Bruce Wayne get philanthropist Riddler Former circus acrobat Dick Grayson family killed TwoFace becomes Waynes ward Batmans new partner Robin Courage now truth always riddle dccomics rose valkilmer tommyleejones jimcarrey joelschumacher action crime fantasy,/mzzNBVwTiiY94xAXDMWJpNPW2US.jpg,/snlu32RmjldF9b068UURJg8sQtn.jpg
314,Catwoman,Catwoman Liquidated discovering corporate conspiracy mildmannered graphic artist Patience Phillips washes island resurrected endowed prowess cat  eager use new skills  vigilante say cat mouse handsome gumshoe Tom Lone tail CATch IMAX whiterussian sex dccomics halleberry benjaminbratt sharonstone pitof action crime,/pvnPgukFyEKgCzyOxyLiwyZ8T1C.jpg,/x7fK0oOUX8Ks1B1lZsACmCXUybI.jpg
257088,Point Break,Point Break young undercover FBI agent infiltrates gang thieves share common interest extreme sports remake 1991 film Point Break law matters gravity undercover undercoveragent extremesports edgarramÃ­rez lukebracey teresapalmer ericsoncore action crime thriller,/z7JOvw5Lqs9ezoFTJxmz3nx3av2.jpg,/7fdy9iThI5qfJ9WMra8SrdvQs02.jpg
29193,The Spanish Prisoner,Spanish Prisoner employee corporation lucrative secret process tempted betray it theres that oldest con book dialogue confidence invention stevemartin campbellscott bengazzara davidmamet crime drama mystery,/cwkWlWfFrvH6WW6ovX5gfGHo7ks.jpg,/cFTzUosDnHsG0QUDP2OuiAxFoTL.jpg
3131,Gangs of New York,Gangs New York 1863 America born streets Amsterdam Vallon returns Five Points America seek vengeance psychotic gangland kingpin Bill Butcher murdered father years earlier eager pickpocket side whole new army Vallon fights way seek vengeance Butcher restore peace area America born streets fire irishamerican immigrant leonardodicaprio danieldaylewis camerondiaz martinscorsese drama history crime,/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,/a2Aj5ksEo2HOUH3FbGyZCtaJM4C.jpg
5175,Rush Hour 2,Rush Hour 2 vacation time Carter finds alongside Lee Hong Kong wishing excitement Carter wants party meet ladies Lee track Triad gang lord may responsible killing two men American Embassy Things get complicated pair stumble onto counterfeiting plot boys soon necks fist fights lifethreatening situations trip back US may provide answers bombing counterfeiting true allegiance sexy customs agent Isabella Get ready second Rush duringcreditsstinger christucker jackiechan zhangziyi brettratner action comedy crime,/aBQf2vMiCINeVC9v6BGVYKXurTh.jpg,/zzFTSEAZcLGSbGipQVflSNUqpij.jpg
1422,The Departed,Departed take South Bostons Irish Mafia police send one infiltrate underworld realizing syndicate done likewise undercover cop curries favor mob kingpin career criminal rises police ranks sides soon discover theres mole among them Lies Betrayal Sacrifice far take it undercover boston police leonardodicaprio mattdamon jacknicholson martinscorsese drama thriller crime,/nT97ifVT2J1yMQmeq20Qblg61T.jpg,/6WRrGYalXXveItfpnipYdayFkQB.jpg
65754,The Girl with the Dragon Tattoo,Girl Dragon Tattoo Englishlanguage adaptation Swedish novel Stieg Larsson follows disgraced journalist Mikael Blomkvist investigates disappearance weary patriarchs niece 40 years ago aided pierced tattooed punk computer hacker named Lisbeth Salander work together investigation Blomkvist Salander uncover immense corruption beyond anything ever imagined Evil shall evil expelled rape journalist basedonnovel danielcraig rooneymara christopherplummer davidfincher thriller crime mystery,/zqDopwg7XQ4IfFX2dRlQCT1SwMG.jpg,/7Rk0eX4bpis4EeumxcxdH9FuYs8.jpg
10528,Sherlock Holmes,Sherlock Holmes Eccentric consulting detective Sherlock Holmes Doctor John Watson battle bring new nemesis unravel deadly plot could destroy England Nothing escapes him detective scotlandyard coffin robertdowneyjr judelaw rachelmcadams guyritchie action adventure crime,/momkKuWburNTqKBF6ez7rvhYVhE.jpg,/veXdzn7LL0bFIDGmE7tTkvRg0qV.jpg
179,The Interpreter,Interpreter Silvia Broome interpreter United Nations headquarters overhears plans assassination American Secret Service agent sent investigate truth needs translation newyork dictator africa nicolekidman seanpenn catherinekeener sydneypollack crime thriller,/wTidq3J9fh8sEOAlD8WZFHVLSuB.jpg,/A5mBIAtZOqVpAVUXolwtOnaQcZc.jpg
1535,Spy Game,Spy Game Veteran spy Nathan Muir verge retiring CIA learns onetime protÃ©gÃ© close friend Tom Bishop political prisoner sentenced die Beijing Although friendship marred bad blood resentment Muir agrees take dangerous mission career rescue Bishop play game game plays you spy china cia robertredford bradpitt catherinemccormack tonyscott action crime thriller,/6y8M1rxjKofQCRKKe6xeV91K2Fc.jpg,/zSAtGMQPOY05hHeIdVEeX72jfz3.jpg
4477,The Devil's Own,Devils Frankie McGuire one IRAs deadliest assassins draws American family crossfire terrorism sent US buy weapons Frankie housed family Tom OMeara New York cop knows nothing Frankies real identity surprising friendship Toms growing suspicions forces Frankie choose promise peace lifetime murder come different worlds fight different causes Now two men opposite sides law go war newyork terrorist anonymity harrisonford bradpitt margaretcolin alanjpakula crime thriller drama,/3KIPu7H3tST0j4tpqdKpQZUBCQz.jpg,/Bfsoyo6mai2KKhdL5tk85RIB8F.jpg
161,Ocean's Eleven,Oceans Eleven Less 24 hours parole charismatic thief Danny Ocean already rolling next plan one night Dannys handpicked crew specialists attempt steal 150 million three Las Vegas casinos score cash Danny risks chances reconciling exwife Tess out prison pickpocket stripclub georgeclooney bradpitt mattdamon stevensoderbergh thriller crime,/hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg,/ncoqdHs1poUaBqyKic9YI8ai7MP.jpg
298,Ocean's Thirteen,Oceans Thirteen Danny Oceans team criminals back composing plan personal ever ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff causing heart attack Danny Ocean vows team anything bring Willy Bank along everything hes got Even means asking help enemy odds getting even 13 one casino thief revenge georgeclooney bradpitt mattdamon stevensoderbergh crime thriller,/5Hjp3pOvvO4DBAId3dxUsuIpfEm.jpg,/nu9nyVoyHecM6Zj6nTeTRgv54mb.jpg
9615,The Fast and the Furious: Tokyo Drift,Fast Furious Tokyo Drift order avoid jail sentence Sean Boswell heads Tokyo live military father lowrent section city Shaun gets caught underground world drift racing streets Tokyo speed needs translation carrace carjourney carmechanic lucasblack nathaliekelley sungkang justinlin action crime drama,/46xqGOwHbh2TH2avWSw3SMXph4E.jpg,/dMARcKLrv0T7kVJ4iQR3vqTTdtT.jpg
1949,Zodiac,Zodiac true story investigation The Zodiac Killer serial killer terrified San Francisco Bay Area taunting police ciphers letters case becomes obsession four men lives careers built destroyed endless trail clues Theres one way lose life killer california sanfrancisco killing jakegyllenhaal robertdowneyjr markruffalo davidfincher crime drama mystery,/6YmeO4pB7XTh8P8F960O1uA14JO.jpg,/cYU5msaAPbHRZ3Qm4Y36Fz8wkqX.jpg
146216,RED 2,RED 2 Retired CIA agent Frank Moses reunites unlikely team elite operatives global quest track missing portable nuclear device best never rest paris londonengland cia brucewillis catherinezetajones anthonyhopkins deanparisot action comedy crime,/jW7bHZgkHKUtUJCsThFuqbZGVUL.jpg,/gd2vQT8uMf1FAsiC0OdewL7XUFR.jpg
