id,title,corpus,poster,backdrop
49026,The Dark Knight Rises,Dark Knight Rises Following death District Attorney Harvey Dent Batman assumes responsibility Dents crimes protect late attorneys reputation subsequently hunted Gotham City Police Department Eight years later Batman encounters mysterious Selina Kyle villainous Bane new terrorist leader overwhelms Gothams finest Dark Knight resurfaces protect city branded enemy Legend Ends dccomics crimefighter terrorist christianbale michaelcaine garyoldman christophernolan action crime drama,/85cWkCVftiVs0BVey6pxX8uNmLt.jpg,/Yrpb32j3eMpMVX7ND3TnOkHnbl.jpg
254,King Kong,King Kong 1933 New York overly ambitious movie producer coerces cast hired ship crew travel mysterious Skull Island encounter Kong giant ape immediately smitten leading lady eighth wonder world filmbusiness screenplay showbusiness naomiwatts jackblack adrienbrody peterjackson adventure drama action,/6a2HY6UmD7XiDD3NokgaBAXEsD2.jpg,/khCWWTRSwmMw1Us6rVFpEzDeDJf.jpg
597,Titanic,Titanic 84 years later 101yearold woman named Rose DeWitt Bukater tells story granddaughter Lizzy Calvert Brock Lovett Lewis Bodine Bobby Buell Anatoly Mikailavich Keldysh life set April 10th 1912 ship called Titanic young Rose boards departing ship upperclass passengers mother Ruth DeWitt Bukater fiancÃ© Caledon Hockley Meanwhile drifter artist named Jack Dawson best friend Fabrizio De Rossi win thirdclass tickets ship game explains whole story departure death Titanic first last voyage April 15th 1912 220 morning Nothing Earth could come them shipwreck iceberg ship katewinslet leonardodicaprio francesfisher jamescameron drama romance thriller,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,/rzdPqYx7Um4FUZeD8wpXqjAUcEm.jpg
72190,World War Z,World War Z Life former United Nations investigator Gerry Lane family seems content Suddenly world plagued mysterious infection turning whole human populations rampaging mindless zombies barely escaping chaos Lane persuaded go mission investigate disease follows perilous trek around world Lane must brave horrific dangers long odds find answers human civilization falls Remember Philly dystopia apocalypse zombie bradpitt mireilleenos abigailhargrove marcforster action drama horror,/1SWBSYJsnyhdNRfLI1T6RsCxAQ4.jpg,/kg2FOT2Oe5PSCgs3L4vLel6B7ck.jpg
64682,The Great Gatsby,Great Gatsby adaptation F Scott Fitzgeralds Long Islandset novel Midwesterner Nick Carraway lured lavish world neighbor Jay Gatsby Soon enough however Carraway see cracks Gatsbys nouveau riche existence obsession madness tragedy await Reserving judgments matter infinite hope come admission limit basedonnovel infidelity obsession leonardodicaprio tobeymaguire careymulligan bazluhrmann drama romance,/nimh1rrDDLhgpG8XAYoUZXHYwb6.jpg,/tb440cwQMRoVHnhYJlzlxfv1ikm.jpg
17979,A Christmas Carol,Christmas Carol Miser Ebenezer Scrooge awakened Christmas Eve spirits reveal miserable existence opportunities wasted youth current cruelties dire fate awaits change ways Scrooge faced story growing bitterness meanness must decide future hold death redemption Seasons Greedings holiday basedonnovel victorianengland garyoldman jimcarrey stevevalentine robertzemeckis animation drama,/t41VHjYItCYHBh2hijsTID44cNv.jpg,/bFntIQxWBwtzYAFc68xF1GKAfiv.jpg
155,The Dark Knight,Dark Knight Batman raises stakes war crime help Lt Jim Gordon District Attorney Harvey Dent Batman sets dismantle remaining criminal organizations plague streets partnership proves effective soon find prey reign chaos unleashed rising criminal mastermind known terrified citizens Gotham Joker Serious dccomics crimefighter secretidentity christianbale heathledger aaroneckhart christophernolan drama action crime,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,/dqK9Hag1054tghRQSqLSfrkvQnA.jpg
44826,Hugo,Hugo Hugo orphan boy living walls train station 1930s Paris learned fix clocks gadgets father uncle puts use keeping train station clocks running thing left connects dead father automaton mechanical man work without special key Hugo needs find unlock secret believes contains adventures meets shopkeeper George Melies works train station adventureseeking goddaughter Hugo finds surprising connection father automaton discovers unlocks memories old man buried inside regarding past One legendary directors time takes extraordinary adventure library clock filmdirector benkingsley sachabaroncohen asabutterfield martinscorsese adventure drama family,/vDAhBTIHvIoNOlgCfmLirVgUK2p.jpg,/jlh5bNiSPcbQ79Nt31kE2GxIR3h.jpg
150540,Inside Out,Inside Growing bumpy road exception Riley uprooted Midwest life father starts new job San Francisco Like us Riley guided emotions  Joy Fear Anger Disgust Sadness emotions live Headquarters control center inside Rileys mind help advise everyday life Riley emotions struggle adjust new life San Francisco turmoil ensues Headquarters Although Joy Rileys main important emotion tries keep things positive emotions conflict best navigate new city house school Meet little voices inside head dream cartoon imaginaryfriend amypoehler phyllissmith richardkind petedocter drama comedy animation,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,/j29ekbcLpBvxnGk6LjdTc2EI5SA.jpg
278927,The Jungle Book,Jungle Book threat tiger Shere Khan forces flee jungle mancub named Mowgli embarks journey self discovery help panther Bagheera free spirited bear Baloo  basedonnovel snake wolf neelsethi billmurray benkingsley jonfavreau family adventure drama,/xIGhgcLtzzTON56G905I5tuwNQM.jpg,/tB2w4m0rW62MTufTjRj0gFLMVBP.jpg
58595,Snow White and the Huntsman,Snow White Huntsman Evil Queen marries King performs violent coup King murdered daughter Snow White taken captive Almost decade later grown Snow White still clutches Queen order obtain immortality Evil Queen needs heart Snow White Snow escapes castle Queen sends Huntsman find Dark Forest Fairytale queen magic fairytale kristenstewart charlizetheron chrishemsworth rupertsanders adventure fantasy drama,/8yKdQHaqOo1lkaErmqMuYFespYI.jpg,/KBe9fHU5rVg4daoKnFwl1Cbc28.jpg
119450,Dawn of the Planet of the Apes,Dawn Planet Apes group scientists San Francisco struggle stay alive aftermath plague wiping humanity Caesar tries maintain dominance community intelligent apes One last chance peace leader colony postapocalyptic andyserkis jasonclarke garyoldman mattreeves sciencefiction action drama,/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,/zlU8BIkgY7E6SMfD3USTWC6bchL.jpg
64686,47 Ronin,47 Ronin Based original 1941 movie Japan ancient Japanâs enduring tale epic 3D fantasyadventure 47 Ronin born Keanu Reeves leads cast Kai outcast joins Oishi Hiroyuki Sanada leader 47 outcast samurai Together seek vengeance upon treacherous overlord killed master banished kind restore honor homeland warriors embark upon quest challenges series trials would destroy ordinary warriors courage loyalty honor japan suicide samurai keanureeves hiroyukisanada koushibasaki carlrinsch drama action adventure,/xDHnmcroujCRG0ysYQaiswjbyHd.jpg,/nyt0jlofZyjhRqiQkEp0cdoKaS3.jpg
157336,Interstellar,Interstellar Interstellar chronicles adventures group explorers make use newly discovered wormhole surpass limitations human space travel conquer vast distances involved interstellar voyage Mankind born Earth never meant die here savingtheworld artificialintelligence fathersonrelationship matthewmcconaughey jessicachastain annehathaway christophernolan adventure drama sciencefiction,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,/rAiYTfKGqDCRIIqo664sY9XZIvQ.jpg
315011,ã·ã³ã»ã´ã¸ã©,ã·ã³ã»ã´ã¸ã© mind behind Evangelion comes hit larger life massive gilled monster emerges deep tears city government scrambles save citizens ragtag team volunteers cuts web red tape uncover monsters weakness mysterious ties foreign superpower time side  greatest catastrophe ever befall world evolve right eyes god incarnate city doomed monster godzilla giantmonster hirokihasegawa yutakatakenouchi satomiishihara hideakianno action adventure drama,/sKTkwFkX8Cm5pyCDRB0c60IOF1a.jpg,/9nyToPG5mhfm4KiPGChu35jH9QZ.jpg
4922,The Curious Case of Benjamin Button,Curious Case Benjamin Button Tells story Benjamin Button man starts aging backwards bizarre consequences Life measured minutes moments diary navy funeral cateblanchett bradpitt tildaswinton davidfincher fantasy drama thriller,/26wEWZYt6yJkwRVkjcbwJEFh9IS.jpg,/2fswjyrY3GEzeoVn6mF8pNeNcgf.jpg
503,Poseidon,Poseidon packed cruise ship traveling Atlantic hit overturned massive wave compelling passengers begin dramatic fight lives Mayday newyearseve fire drowning kurtrussell richarddreyfuss joshlucas wolfgangpetersen adventure action drama,/cCx2Ead8KoZhHofsAAr7tyrjfDo.jpg,/r1gEZd7BoXtLNEQSNMqfsMlMtIz.jpg
6479,I Am Legend,Legend Robert Neville scientist unable stop spread terrible virus incurable manmade Immune Neville last human survivor left New York City perhaps world three years Neville faithfully sent daily radio messages desperate find survivors might there alone last man Earth alone savingtheworld lostcivilisation postapocalyptic willsmith alicebraga charlietahan francislawrence drama horror action,/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg,/lhVVIWKR13khBvjFz8XyZ2GM0JS.jpg
272,Batman Begins,Batman Begins Driven tragedy billionaire Bruce Wayne dedicates life uncovering defeating corruption plagues home Gotham City Unable work within system instead creates new identity symbol fear criminal underworld  Batman Evil fears knight himalaya martialarts dccomics christianbale michaelcaine liamneeson christophernolan action crime drama,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,/ew5FcYiRhTYNJAkxoVPMNlCOdVn.jpg
7978,The Wolfman,Wolfman Lawrence Talbot American man visit Victorian London make amends estranged father gets bitten werewolf and moonlight transformation leaves savage hunger flesh moon full legend comes life fathersonrelationship victorianengland remake beniciodeltoro anthonyhopkins emilyblunt joejohnston drama horror thriller,/cdzkHnXhPbBBBAPLKDXFCy3oHVD.jpg,/aJKcFHxZp0oFJwQ1wHqjyqNpqXY.jpg
117251,White House Down,White House Capitol Policeman John Cale denied dream job Secret Service protecting President James Sawyer wanting let little girl news takes tour White House complex overtaken heavily armed paramilitary group Now nations government falling chaos time running out Cale save president daughter country start like day usapresident conspiracy secretservice channingtatum jamiefoxx joeyking rolandemmerich action drama thriller,/hXLScIERphkTsMGdfKKvF4p4SPB.jpg,/eVidMQ5eXDhRizo9ig1X4iWCDqe.jpg
652,Troy,Troy year 1250 BC late Bronze age two emerging nations begin clash Paris Trojan prince convinces Helen Queen Sparta leave husband Menelaus sail back Troy Menelaus finds wife taken Trojans asks brother Agamemnom help get back Agamemnon sees opportunity power set 1000 ships holding 50000 Greeks Troy help Achilles Greeks able fight never defeated Trojans passion honor destiny victory love brotherbrotherrelationship adultery mythology bradpitt orlandobloom ericbana wolfgangpetersen adventure drama war,/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg,/qZitv5zrSXfJafGThxmvbvTsuu5.jpg
616,The Last Samurai,Last Samurai Nathan Algren American hired instruct Japanese army ways modern warfare finds learning respect samurai honorable principles rule them Pressed destroy samurais way life name modernization open trade Algren decides become ultimate warrior fight right exist face enemy heart one man lies soul warrior japan warcrimes senseofguilt tomcruise kenwatanabe williamatherton edwardzwick drama action war,/lsasOSgYI85EHygtT5SvcxtZVYT.jpg,/4m0eLZzOr5W1BK9el9ASQrTwd0m.jpg
147441,Exodus: Gods and Kings,Exodus Gods Kings defiant leader Moses rises Egyptian Pharaoh Ramses setting 400000 slaves monumental journey escape Egypt terrifying cycle deadly plagues brothers enemies moses bible ancientegypt christianbale joeledgerton johnturturro ridleyscott adventure drama action,/uaDj37JtvLan9tihxZ18e6qL33b.jpg,/hJ1jUw8irCiWwQk7BElxF92BrlK.jpg
1927,Hulk,Hulk Bruce Banner genetics researcher tragic past suffers massive radiation exposure laboratory causes transform raging green monster gets angry Unleash hero within california sanfrancisco monster ericbana jenniferconnelly samelliott anglee drama action sciencefiction,/qnngKqAcqfH2pBxDoKu5lxzSbTo.jpg,/kYd1ZMWvG9K2Jeop3XWXcTpJ2dB.jpg
50620,The Twilight Saga: Breaking Dawn - Part 2,Twilight Saga Breaking Dawn  Part 2 birth Renesmee Cullens gather vampire clans order protect child false allegation puts family front Volturi epic finale live forever vampire romance villainess kristenstewart robertpattinson taylorlautner billcondon adventure fantasy drama,/7IGdPaKujv0BjI0Zd0m0a4CzEjJ.jpg,/qkl57wzSFrpi2sRpoc2mZJbMuLP.jpg
281957,The Revenant,Revenant 1820s frontiersman Hugh Glass sets path vengeance left dead bear mauling n One returned dead fathersonrelationship rape basedonnovel leonardodicaprio tomhardy willpoulter alejandrogonzÃ¡leziÃ±Ã¡rritu western drama adventure,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,/3uM41OT0RfBkE6Gb6U89LEskJBr.jpg
2503,The Bourne Ultimatum,Bourne Ultimatum Bourne brought hiding reporter Simon Ross trying unveil Operation Blackbriar upgrade Project Treadstone series newspaper columns Information reporter stirs new set memories Bourne must finally uncover dark past dodging Companys best efforts eradicate him Remember everything Forgive nothing paris corruption madrid mattdamon juliastiles davidstrathairn paulgreengrass action drama mystery,/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg,/qiBILuWhv7ipF0pxiEqIJdkQzj8.jpg
86834,Noah,Noah man suffers visions apocalyptic deluge takes measures protect family coming flood end world beginning bible god noah russellcrowe jenniferconnelly emmawatson darrenaronofsky drama adventure,/vVLkHabnF5lVpCpqyhZBI5iCYMA.jpg,/5z75Q6nqgwgYfpMB9fVHQcw9gMz.jpg
6972,Australia,Australia Set northern Australia World War II English aristocrat inherits sprawling ranch reluctantly pacts stockman order protect new property takeover plot pair drive 2000 head cattle unforgiving landscape experience bombing Darwin Australia Japanese forces firsthand Welcome Australia missionary worldwarii ranch nicolekidman hughjackman essiedavis bazluhrmann drama,/45X7LFsgYvdEgFCkXSZCQOZMuJX.jpg,/baLn65OQYiXMjLy2o5yxwpa6Fga.jpg
2133,The Perfect Storm,Perfect Storm October 1991 confluence weather conditions combined form killer storm North Atlantic Caught storm swordfishing boat Andrea Gail Magnificent foreshadowing anticipation fill truelife drama minute details fishing boats gear weather juxtaposed sea adventure storm coming usairforce grocery jamaican georgeclooney markwahlberg dianelane wolfgangpetersen drama,/aOYHJclz1yZdFT3hdMY8TeYU4fk.jpg,/cmOWlfDvBSMyLaeZ85M87GmkH8v.jpg
87827,Life of Pi,Life Pi story Indian boy named Pi zookeepers son finds company hyena zebra orangutan Bengal tiger shipwreck sets adrift Pacific Ocean Believe Unbelievable ocean shipwreck hindu surajsharma irrfankhan ayushtandon anglee adventure drama action,/iLgRu4hhSr6V1uManX6ukDriiSc.jpg,/7H01zprUY67n7bdcFg6VMvrkNjs.jpg
68724,Elysium,Elysium year 2159 two classes people exist wealthy live pristine manmade space station called Elysium rest live overpopulated ruined Earth Secretary Rhodes Jodie Foster hard line government ofï¬cial stop nothing enforce antiimmigration laws preserve luxurious lifestyle citizens Elysium doesnât stop people Earth trying get in means can unlucky Max Matt Damon backed corner agrees take daunting mission that successful save life could bring equality polarized worlds save us all dystopia spacestation classconflict mattdamon jodiefoster sharltocopley neillblomkamp sciencefiction action drama,/aRjuJuPXHtVs6YegfeeQWXGRs1E.jpg,/xjnxyYqsgRDF9NmuNF19kHHu0Yg.jpg
42888,How Do You Know,Know cut USA softball team feeling bit past prime Lisa finds evaluating life middle love triangle corporate guy crisis competes current baseballplaying beau know love lovetriangle baseball athlete reesewitherspoon paulrudd owenwilson jameslbrooks comedy drama romance,/jbOnp79eUZxQHgcdnTIRlxel1dE.jpg,/yJvXWCNGsHJOP3okeoYgYqin7y2.jpg
12100,Windtalkers,Windtalkers Joe Enders gungho Marine assigned protect windtalker  one several Navajo Indians used relay messages World War II spoken language indecipherable Japanese code breakers Honor Code japan worldwarii radiotransmission nicolascage adambeach peterstormare johnwoo drama action history,/547q4HXlvEcS06lujfb2yzsTP3H.jpg,/xr60oCXkfFIqMRJ4YxtMiD53zBy.jpg
290595,The Huntsman: Winter's War,Huntsman Winters War two evil sisters prepare conquer land two renegadesâEric Huntsman aided Snow White defeating Ravenna Snowwhite Huntsman forbidden lover Saraâset stop them story Snow White witch magic fairytale chrishemsworth charlizetheron emilyblunt cedricnicolastroyan action adventure drama,/cjAGYsTPmmhZOwzrgon0Drpu43K.jpg,/4kCDWJhceLHwPbRWd9uTR8bJpLz.jpg
49047,Gravity,Gravity Dr Ryan Stone brilliant medical engineer first Shuttle mission veteran astronaut Matt Kowalsky command last flight retiring seemingly routine spacewalk disaster strikes Shuttle destroyed leaving Stone Kowalsky completely alonetethered nothing spiraling blackness space deafening silence tells lost link Earth chance rescue fear turns panic every gulp air eats away little oxygen left way home may go terrifying expanse space Let Go spacemission loss space sandrabullock georgeclooney edharris alfonsocuarÃ³n sciencefiction thriller drama,/wmUeEacsFZzDndaeOtNNmy26rYJ.jpg,/a2n6bKD7qhCPCAEALgsAhWOAQcc.jpg
254128,San Andreas,San Andreas aftermath massive earthquake California rescuechopper pilot makes dangerous journey across state order rescue estranged daughter rescue pilot survived earthquake happens next california earthquake catastrophe dwaynejohnson alexandradaddario carlagugino bradpeyton action drama thriller,/2Gfjn962aaFSD6eST6QU3oLDZTo.jpg,/zcySy6dnSmyqiichtDgO7AEeZoq.jpg
2024,The Patriot,Patriot proving field battle French Indian War Benjamin Martin wants nothing things preferring simple life farmer son Gabriel enlists army defend new nation America British Benjamin reluctantly returns old life protect son things worth fighting for rebel southernusa lossofson melgibson heathledger joelyrichardson rolandemmerich drama history war,/fWZd815QxUCUcrWQZwUkAp9ljG.jpg,/c9xSFZQtC4c16Vn5CMOaB1pGk9J.jpg
787,Mr. & Mrs. Smith,Mr  Mrs Smith five or six years vanillawedded bliss ordinary suburbanites John Jane Smith stuck huge rut Unbeknownst other coolly lethal highlypaid assassins working rival organisations discover theyre others next target secret lives collide spicy explosive mix wicked comedy pentup passion nonstop action hightech weaponry Smart sexy bomb assassin secretidentity angelinajolie bradpitt vincevaughn dougliman action comedy drama,/wzIO3ytxeSNt1wRpXLIdkNbGoDm.jpg,/iFaWUETEE2umP1WY0LUAmjSpzm7.jpg
2567,The Aviator,Aviator biopic depicting life filmmaker aviation pioneer Howard Hughes 1927 1947 time became successful film producer aviation magnate simultaneously growing unstable due severe obsessivecompulsive disorder men sky limit him beginning ladykiller pilot biography leonardodicaprio cateblanchett katebeckinsale martinscorsese drama,/lx4kWcZc3o9PaNxlQpEJZM17XUI.jpg,/wNBLjvDpvTS3wyOZCecf3Jas7la.jpg
39254,Real Steel,Real Steel nearfuture Charlie Kenton washedup fighter retired ring robots took sport Charlies robot trashed reluctantly teams estranged son Max rebuild train unlikely contender get one shot make real fathersonrelationship fight sport hughjackman dakotagoyo evangelinelilly shawnlevy action sciencefiction drama,/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,/4f0Kj0QwPui5ydu1UavsnvP1m1o.jpg
8489,Ali,Ali 1964 brash new pro boxer fresh olympic gold medal victory explodes scene Cassius Clay Bold outspoken cuts entirely new image African Americans sport proud public self confidence unapologetic belief greatest boxer time Yet top game Alis personal professional lives face ultimate test Float like butterfly sting like bee usa transporter boxer willsmith jamiefoxx jonvoight michaelmann drama,/aBphVTRYpJS028Of2Ctho1mYgcF.jpg,/gVtm7G5NtQxjFNA5ydqxslxjCuk.jpg
1495,Kingdom of Heaven,Kingdom Heaven wife dies blacksmith named Balian thrust royalty political intrigue bloody holy wars Crusades without fear face enemies Safeguard helpless wrong crusade epic knight orlandobloom evagreen jeremyirons ridleyscott drama action adventure,/uk55nBEFIQFveIiy9jvLGiVtk4h.jpg,/kP8rK9dGS1pr0HrnmXfIi2heWjo.jpg
286217,The Martian,Martian manned mission Mars Astronaut Mark Watney presumed dead fierce storm left behind crew Watney survived finds stranded alone hostile planet meager supplies must draw upon ingenuity wit spirit subsist find way signal Earth alive Bring Home basedonnovel mars nasa mattdamon jessicachastain kristenwiig ridleyscott drama adventure sciencefiction,/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,/3dPhs7hUnQLphDFzdkD407VZDYo.jpg
98,Gladiator,Gladiator year 180 death emperor Marcus Aurelius throws Roman Empire chaos Maximus one Roman armys capable trusted generals key advisor emperor Marcus devious son Commodus ascends throne Maximus set executed escapes captured slave traders Renamed Spaniard forced become gladiator Maximus must battle death men amusement paying audiences battle skills serve well becomes one famous admired men fight Colosseum Determined avenge man took away freedom laid waste family Maximus believes use fame skill ring avenge loss family former glory gladiator begins challenge rule Commodus decides put fighting mettle test squaring Maximus battle death Hero Rise rome gladiator arena russellcrowe joaquinphoenix connienielsen ridleyscott action drama adventure,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,/swpjSgGmBCx6QgfO4rgv5vBzqHL.jpg
11322,Public Enemies,Public Enemies Depressionera bank robber John Dillingers charm audacity endear much Americas downtrodden public hes also thorn side J Edgar Hoover fledgling FBI Desperate capture elusive outlaw Hoover makes Dillinger first Public Enemy Number One assigns top agent Melvin Purvis task bringing dead alive Americas Wanted cinema hidingplace machinegun christianbale johnnydepp giovanniribisi michaelmann history crime drama,/ezFQaPf4cOEfsl39Me0gSV29d7V.jpg,/4C2Usp4K9CEV0Idy9VJv6tVOLpW.jpg
4982,American Gangster,American Gangster Following death employer mentor Bumpy Johnson Frank Lucas establishes number one importer heroin Harlem district Manhattan buying heroin directly source South East Asia comes unique way importing drugs United States Based true story two sides American dream underdog blackpeople drugtraffic denzelwashington russellcrowe chiwetelejiofor ridleyscott drama crime,/sX9idXDqRUxE5ffww3n3RV5gL55.jpg,/qYx2AB7J3JsHA3xPfSMdLHRwDnc.jpg
18487,The Taking of Pelham 1 2 3,Taking Pelham 1 2 3 Armed men hijack New York City subway train holding passengers hostage return ransom turning ordinary days work dispatcher Walter Garber faceoff mastermind behind crime cant get head Im gonna die today hostage newyorkcity newyorksubway denzelwashington johntravolta luisguzmÃ¡n tonyscott thriller drama crime,/baRXNiLDOpz3rH3VyjhayhgkWll.jpg,/kBWPHSszi8jKLqW5tMaQV1bISB2.jpg
9268,Eraser,Eraser US Marshall John Kruger erases identities people enrolled Witness Protection Program current assignment protect Lee Cullen whos uncovered evidence weapons manufacturer works selling terrorist groups Kruger discovers theres corrupt agent within program must guard life trying protect Lees erase past protect future suicide ambush showdown arnoldschwarzenegger jamescaan vanessawilliams chuckrussell action drama mystery,/1FUV5ZmEkbxvqwQW0az4tFFOSmo.jpg,/8n6ZCFJWwK7UiX7NYuIEvHLRPYG.jpg
68718,Django Unchained,Django Unchained help German bounty hunter freed slave sets rescue wife brutal Mississippi plantation owner Life liberty pursuit vengeance bountyhunter hero plantation jamiefoxx christophwaltz leonardodicaprio quentintarantino drama western,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,/n2eUT4zQA2yYcKOgAFidgOyiFoH.jpg
10545,The Hunchback of Notre Dame,Hunchback Notre Dame Quasi defies evil Frollo ventures Festival Fools cruel crowd jeers him Rescued fellow outcast gypsy Esmeralda Quasi soon finds battling save people city loves  paris basedonnovel judge tomhulce demimoore tonyjay garytrousdale drama animation family,/7k0fr2xLCTChjN8MnGNThTP9uEB.jpg,/oslaee3VX9kJAjVezbjZKlEJDzn.jpg
1372,Blood Diamond,Blood Diamond exmercenary turned smuggler Mende fisherman Amid explosive civil war overtaking 1999 Sierra Leone men join two desperate missions recovering rare pink diamond immense value rescuing fishermans son conscripted child soldier brutal rebel forces ripping swath torture bloodshed countrywide cost everything rebel journalist journalism leonardodicaprio djimonhounsou jenniferconnelly edwardzwick drama thriller action,/tnLxPpajkbVdbQl5B9CuD7sSpz9.jpg,/466zklOlxKDXID4ejaIXu3PN5nV.jpg
106646,The Wolf of Wall Street,Wolf Wall Street New York stockbroker refuses cooperate large securities fraud case involving corruption Wall Street corporate banking world mob infiltration Based Jordan Belforts autobiography EARN SPEND PARTY ,/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,/7Nwnmyzrtd0FkcRyPqmdzTPppQa.jpg
83542,Cloud Atlas,Cloud Atlas set six nested stories spanning time 19th century distant postapocalyptic future Cloud Atlas explores actions consequences individual lives impact one another throughout past present future Action mystery romance weave story one soul shaped killer hero single act kindness ripples across centuries inspire revolution distant future Based award winning novel David Mitchell Directed Tom Tykwer Wachowskis Everything Connected clone future dystopia tomhanks halleberry jimbroadbent tomtykwer drama sciencefiction,/8naVv2Xu3rWI5JKHz0vCujx6GaJ.jpg,/knY4ttZI6K4aiMyQ0kTekLHP2cc.jpg
205775,In the Heart of the Sea,Heart Sea winter 1820 New England whaling ship Essex assaulted something one could believe whale mammoth size will almost human sense vengeance reallife maritime disaster would inspire Herman Melvilleâs Moby Dick told half story âHeart Seaâ reveals encounterâs harrowing aftermath shipâs surviving crew pushed limits forced unthinkable stay alive Braving storms starvation panic despair men call question deepest beliefs value lives morality trade captain searches direction open sea first mate still seeks bring great whale down Based incredible true story inspired Moby Dick suicide ocean sea chrishemsworth benjaminwalker cillianmurphy ronhoward thriller drama adventure,/weVvNPfk6FM9vBg3BXtRtNAmiYM.jpg,/xnuy6CYEoBmXKhTjKDSbzLe1dB5.jpg
