id,title,corpus,poster,backdrop
38757,Tangled,Tangled kingdoms wantedand charmingbandit Flynn Rider hides mysterious tower hes taken hostage Rapunzel beautiful feisty towerbound teen 70 feet magical golden hair Flynns curious captor whos looking ticket tower locked away years strikes deal handsome thief unlikely duo sets actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thugs Theyre taking adventure new lengths hostage magic horse zacharylevi mandymoore donnamurphy byronhoward animation family,/ym7Kst6a4uodryxqbGOxmewF235.jpg,/cWczNud8Y8i8ab0Z4bxos4myWYO.jpg
767,Harry Potter and the Half-Blood Prince,Harry Potter HalfBlood Prince Harry begins sixth year Hogwarts discovers old book marked Property HalfBlood Prince begins learn Lord Voldemorts dark past Dark Secrets Revealed witch magic broom danielradcliffe rupertgrint emmawatson davidyates adventure fantasy family,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,/urDWNffjwmNi5IQaezw9GwqkUXa.jpg
2454,The Chronicles of Narnia: Prince Caspian,Chronicles Narnia Prince Caspian One year incredible adventures Lion Witch Wardrobe Peter Edmund Lucy Susan Pevensie return Narnia aid young prince whose life threatened evil King Miraz Now help colorful cast new characters including Trufflehunter badger Nikabrik dwarf Pevensie clan embarks incredible quest ensure Narnia returned rightful heir Hope new face basedonnovel fictionalplace brothersisterrelationship benbarnes williammoseley annapopplewell andrewadamson adventure family fantasy,/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg,/9pBv1BOSloAUgAkF0meJWdnbV4Q.jpg
12155,Alice in Wonderland,Alice Wonderland Alice unpretentious individual 19yearold betrothed dunce English nobleman engagement party escapes crowd consider whether go marriage falls hole garden spotting unusual rabbit Arriving strange surreal place called Underland finds world resembles nightmares child filled talking animals villainous queens knights frumious bandersnatches Alice realizes reason â conquer horrific Jabberwocky restore rightful queen throne invited important date basedonnovel fictionalplace queen miawasikowska johnnydepp annehathaway timburton family fantasy adventure,/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg,/20pkC7yJdCV4J1IMKfsCT9QU7zV.jpg
62211,Monsters University,Monsters University look relationship Mike Sulley days Monsters University â necessarily best friends School never looked scary monster dormitory games billycrystal johngoodman stevebuscemi danscanlon animation family,/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg,/pK42lGbT48fClhtEcP7gvk4hoXP.jpg
68728,Oz: The Great and Powerful,Oz Great Powerful Oscar Diggs smalltime circus illusionist conartist whisked Kansas Land Oz inhabitants assume hes great wizard prophecy save Oz clutches evil Oz nothing seems circus witch magic jamesfranco milakunis rachelweisz samraimi fantasy adventure family,/tkzfAUEKoUp4YFNbZV9hfpZOz0z.jpg,/a4KUVG5P5hBSgAgHHindbnyubTF.jpg
49013,Cars 2,Cars 2 Star race car Lightning McQueen pal Mater head overseas compete World Grand Prix race road championship becomes rocky Mater gets caught intriguing adventure own international espionage Kaciao carrace sequel comedy owenwilson larrythecableguy michaelcaine johnlasseter animation family adventure,/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg,/jTx4XlVsLJkDwbEQkFYwpApD556.jpg
10193,Toy Story 3,Toy Story 3 Woody Buzz rest Andys toys played years Andy go college gang find accidentally left nefarious day care center toys must band together escape return home Andy toy gets left behind hostage college toy tomhanks timallen nedbeatty leeunkrich animation family comedy,/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,/uAfhsySkr1UzQg1zdg3dZQRz9Fd.jpg
81005,Jack the Giant Slayer,Jack Giant Slayer story ancient war reignited young farmhand unwittingly opens gateway world fearsome race giants Unleashed Earth first time centuries giants strive reclaim land lost forcing young man Jack battle life stop them Fighting kingdom people love brave princess comes face face unstoppable warriors thought existed legendâand gets chance become legend himself Prepare giant adventure basedonfairytale giant nicholashoult eleanortomlinson ewanmcgregor bryansinger action family fantasy,/9jSI7saUX9Qz0JLh19jX2ulEwL7.jpg,/c7U9Fuy74WLp7gFAdpQJHn2T2no.jpg
105864,The Good Dinosaur,Good Dinosaur epic journey world dinosaurs Apatosaurus named Arlo makes unlikely human friend Little Arms Big Attitude tyrannosaurusrex friends alternatehistory raymondochoa jackbright jeffreywright petersohn adventure animation family,/8RSkxOO80btfKjyiC5ZiTaCHIT8.jpg,/fMdtO9Vk5VG42xi6QUMlaobR44W.jpg
