id,title,corpus,poster,backdrop
19995,Avatar,Avatar 22nd century paraplegic Marine dispatched moon Pandora unique mission becomes torn following orders protecting alien civilization Enter World Pandora cultureclash future spacewar samworthington zoesaldana sigourneyweaver jamescameron action adventure fantasy,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg
285,Pirates of the Caribbean: At World's End,Pirates Caribbean Worlds End Captain Barbossa long believed dead come back life headed edge Earth Turner Elizabeth Swann nothing quite seems end world adventure begins ocean drugabuse exoticisland johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action,/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,/xQkk0i3FrNSq7DTBlxRf9XJhH7l.jpg
559,Spider-Man 3,SpiderMan 3 seemingly invincible SpiderMan goes allnew crop villain â including shapeshifting Sandman SpiderManâs superpowers altered alien organism alter ego Peter Parker deals nemesis Eddie Brock also gets caught love triangle battle within dualidentity amnesia sandstorm tobeymaguire kirstendunst jamesfranco samraimi fantasy action adventure,/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,/w1oD1MzHjnBJc5snKupIQaSBLIh.jpg
767,Harry Potter and the Half-Blood Prince,Harry Potter HalfBlood Prince Harry begins sixth year Hogwarts discovers old book marked Property HalfBlood Prince begins learn Lord Voldemorts dark past Dark Secrets Revealed witch magic broom danielradcliffe rupertgrint emmawatson davidyates adventure fantasy family,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,/urDWNffjwmNi5IQaezw9GwqkUXa.jpg
209112,Batman v Superman: Dawn of Justice,Batman v Superman Dawn Justice Fearing actions godlike Super Hero left unchecked Gotham Cityâs formidable forceful vigilante takes Metropolisâs revered modernday savior world wrestles sort hero really needs Batman Superman war one another new threat quickly arises putting mankind greater danger itâs ever known before Justice revenge dccomics vigilante superhero benaffleck henrycavill galgadot zacksnyder action adventure fantasy,/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,/5fX1oSGuYdKgwWmUTAN5MNSQGzr.jpg
1452,Superman Returns,Superman Returns Superman returns discover 5year absence allowed Lex Luthor walk free closest felt abandoned moved on Luthor plots ultimate revenge could see millions killed change face planet forever well ridding Man Steel  savingtheworld dccomics invulnerability brandonrouth kevinspacey katebosworth bryansinger adventure fantasy action,/385XwTQZDpRX2d3kxtnpiLrjBXw.jpg,/8eRscFbRYl681zDfkjv1jjW1KAA.jpg
58,Pirates of the Caribbean: Dead Man's Chest,Pirates Caribbean Dead Mans Chest Captain Jack Sparrow works way blood debt ghostly Davey Jones also attempts avoid eternal damnation Jack back witch fortuneteller bondage johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,/14F9FtM2DOPex5zrZkauJwWobtl.jpg
49521,Man of Steel,Man Steel young boy learns extraordinary powers earth young man journeys discover came sent do hero must emerge save world annihilation become symbol hope mankind believe man fly savingtheworld dccomics superhero henrycavill amyadams michaelshannon zacksnyder action adventure fantasy,/dksTL9NXc3GqPBRHYHcy1aIwjS.jpg,/69EFgWWPFWbRNHmQgYdSnyJ94Ge.jpg
2454,The Chronicles of Narnia: Prince Caspian,Chronicles Narnia Prince Caspian One year incredible adventures Lion Witch Wardrobe Peter Edmund Lucy Susan Pevensie return Narnia aid young prince whose life threatened evil King Miraz Now help colorful cast new characters including Trufflehunter badger Nikabrik dwarf Pevensie clan embarks incredible quest ensure Narnia returned rightful heir Hope new face basedonnovel fictionalplace brothersisterrelationship benbarnes williammoseley annapopplewell andrewadamson adventure family fantasy,/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg,/9pBv1BOSloAUgAkF0meJWdnbV4Q.jpg
1865,Pirates of the Caribbean: On Stranger Tides,Pirates Caribbean Stranger Tides Captain Jack Sparrow crosses paths woman past hes sure love  ruthless con artist whos using find fabled Fountain Youth forces aboard Queen Annes Revenge ship formidable pirate Blackbeard Jack finds unexpected adventure know fear more Blackbeard woman past Live Forever Die Trying sea captain mutiny johnnydepp penÃ©lopecruz ianmcshane robmarshall adventure action fantasy,/keGfSvCmYj7CvdRx36OdVrAEibE.jpg,/uzIGtyS6bbnJzGsPL93WCF1FWm8.jpg
