id,title,corpus,poster,backdrop
676,Pearl Harbor,Pearl Harbor lifelong friendship Rafe McCawley Danny Walker put ultimate test two ace fighter pilots become entangled love triangle beautiful Naval nurse Evelyn Johnson rivalry friendsturnedfoes immediately put hold find center Japans devastating attack Pearl Harbor Dec 7 1941 takes moment change history takes love change lives nurse patriotism hawaii benaffleck joshhartnett katebeckinsale michaelbay history romance war,/y8A0Cvp8WQmZ3bjbnsL53lY0dsC.jpg,/zv1xOEQzebKyku349qDZ085FZlO.jpg
1966,Alexander,Alexander Alexander King Macedonia leads legions giant Persian Empire defeating Persians leads army across known world venturing farther westerner ever gone way India greatest legend real aristotle egypt greece colinfarrell angelinajolie valkilmer oliverstone war history action,/jrwQu72sGwGqwE8Ijne89PSIvhp.jpg,/ySK5gxvXYnn55fjCIBeJVsG17RJ.jpg
12100,Windtalkers,Windtalkers Joe Enders gungho Marine assigned protect windtalker  one several Navajo Indians used relay messages World War II spoken language indecipherable Japanese code breakers Honor Code japan worldwarii radiotransmission nicolascage adambeach peterstormare johnwoo drama action history,/547q4HXlvEcS06lujfb2yzsTP3H.jpg,/xr60oCXkfFIqMRJ4YxtMiD53zBy.jpg
2024,The Patriot,Patriot proving field battle French Indian War Benjamin Martin wants nothing things preferring simple life farmer son Gabriel enlists army defend new nation America British Benjamin reluctantly returns old life protect son things worth fighting for rebel southernusa lossofson melgibson heathledger joelyrichardson rolandemmerich drama history war,/fWZd815QxUCUcrWQZwUkAp9ljG.jpg,/c9xSFZQtC4c16Vn5CMOaB1pGk9J.jpg
11322,Public Enemies,Public Enemies Depressionera bank robber John Dillingers charm audacity endear much Americas downtrodden public hes also thorn side J Edgar Hoover fledgling FBI Desperate capture elusive outlaw Hoover makes Dillinger first Public Enemy Number One assigns top agent Melvin Purvis task bringing dead alive Americas Wanted cinema hidingplace machinegun christianbale johnnydepp giovanniribisi michaelmann history crime drama,/ezFQaPf4cOEfsl39Me0gSV29d7V.jpg,/4C2Usp4K9CEV0Idy9VJv6tVOLpW.jpg
3131,Gangs of New York,Gangs New York 1863 America born streets Amsterdam Vallon returns Five Points America seek vengeance psychotic gangland kingpin Bill Butcher murdered father years earlier eager pickpocket side whole new army Vallon fights way seek vengeance Butcher restore peace area America born streets fire irishamerican immigrant leonardodicaprio danieldaylewis camerondiaz martinscorsese drama history crime,/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,/a2Aj5ksEo2HOUH3FbGyZCtaJM4C.jpg
76758,ééµåä¸éµ,ééµåä¸éµ Westerner finds refuge group women church Japans rape Nanking 1937 Posing priest attempts lead women safety  forcedprostitution childrape christianbale nini tongdawei zhangyimou drama history war,/pYltmnA1VDWl45EcVQoJYPsTpLW.jpg,/q8Ea7BIux9GevWePejuz8a1zHx8.jpg
855,Black Hawk Down,Black Hawk US Rangers elite Delta Force team attempt kidnap two underlings Somali warlord Black Hawk helicopters shot down Americans suffer heavy casualties facing intense fighting militia ground Leave Man Behind prisonersofwar wound somalia joshhartnett ewanmcgregor jasonisaacs ridleyscott action history war,/7fU5dSqKRL4XHeEUz62rCKBfYok.jpg,/dd11uT1rtjQfEwEAvWiNfXgzXtD.jpg
10733,The Alamo,Alamo Based 1836 standoff group Texan Tejano men led Davy Crockett Jim Bowie Mexican dictator Santa Annas forces Alamo San Antonio Texas never forget texas officer uprising dennisquaid billybobthornton jasonpatric johnleehancock western history war,/aZrWYkxCCwSPKp4VjVvn46uHbIX.jpg,/hz49d5AsQEVPhqvkIQnv5XKqSrX.jpg
2253,Valkyrie,Valkyrie Wounded Africa World War II Nazi Col Claus von Stauffenberg returns native Germany joins Resistance daring plan create shadow government assassinate Adolf Hitler events unfold becomes central player finds tasked leading coup personally killing FÃ¼hrer Many saw evil dared stop it berlin suicide bomb tomcruise caricevanhouten kennethbranagh bryansinger drama thriller history,/8eoRtXswC8IQDsqW7iJWO56NhAv.jpg,/h1bNQ2MZzKLuKa7N0nOuSXlgMwT.jpg
