id,title,corpus,poster,backdrop
16858,All That Jazz,Jazz Bob Fosses semiautobiographical film celebrates show business stripped glitz giddy illusions Joe Gideon Roy Scheider top heap one successful directors choreographers musical theatre feel world slowly collapsing around himhis obsession work almost destroyed personal life bottles pills keep going work glitter pain love crazy rhythm jazz showbusiness filmmaking tapdancing royscheider jessicalange lelandpalmer bobfosse drama music,/meLHG7ZMan8WKVmF5tCTy4B0Hjg.jpg,/4tOzDfIzeynN8WCy1kQ4kBHdgLp.jpg
49948,Fantasia 2000,Fantasia 2000 Blending lively music brilliant animation sequel original Fantasia restores The Sorcerers Apprentice adds seven new shorts  orchestra musicalsegments stevemartin itzhakperlman quincyjones jamesalgar animation family music,/6JszBEg8OEbkMzpY5IPTMVzxmYZ.jpg,/wBQ2tSdXgAOAdH14VgXtN9qD0Ol.jpg
10197,Nine,Nine Arrogant selfcentered movie director Guido Contini finds struggling find meaning purpose script latest film endeavor week left shooting begins desperately searches answers inspiration wife mistress muse mother Holiday Season Italian memory sidewalkcafe roomkey judidench danieldaylewis marioncotillard robmarshall drama music romance,/bSxdTXktgPQPNwlkQ0DZtuAJXlb.jpg,/3ixn2R4tPEUQuq5AWw5EngopyWZ.jpg
2976,Hairspray,Hairspray Pleasantly plump teenager Tracy Turnblad best friend Penny Pingleton audition Corny Collins Show â Tracy wins scheming Amber Von Tussle mother plot destroy Tracy turns chaos follow beat world follow you races dream dance johntravolta michellepfeiffer christopherwalken adamshankman family comedy music,/g1yQLFeAo7ZNdCPY1F7yytnn2UP.jpg,/oO55Z71apssUy4Cf0obsK2kX3oK.jpg
80585,Rock of Ages,Rock Ages small town girl city boy meet Sunset Strip pursuing Hollywood dreams Nothin good time musical rocker teenager juliannehough diegoboneta tomcruise adamshankman comedy drama music,/A0kIZHg0Tn66lw5gbKUIRwlCny0.jpg,/nbfYxvbW82K5qHpLTGOU3QHOPU7.jpg
59981,Legends of Oz: Dorothy's Return,Legends Oz Dorothys Return Dorothy wakes posttornado Kansas whisked back Oz try save old friends Scarecrow Lion Tin Man Glinda devious new villain Jester Wiser owl Marshal Mallow China Princess Tugg tugboat join Dorothy latest magical journey colorful landscape Oz restore order happiness Emerald City Theres trouble OZ  leamichele danaykroyd patrickstewart danstpierre animation music family,/mpMX4avGjpQ0LSgDUTebxdTD81T.jpg,/3UPdg8QO6CF5UqmOIJoLKhRM6e.jpg
82695,Les MisÃ©rables,Les MisÃ©rables adaptation successful stage musical based Victor Hugos classic novel set 19thcentury France paroled prisoner named Jean Valjean seeks redemption Fight Dream Hope Love france robbery brothel hughjackman russellcrowe annehathaway tomhooper drama music romance,/90PyvT7SI5INKhMC6P7B5NJVx4t.jpg,/jd3Z2sAPDavjRxFhfOak6kCrUIG.jpg
13576,Michael Jackson's This Is It,Michael Jacksons compilation interviews rehearsals backstage footage Michael Jackson prepared series soldout shows London Like Never Seen popstar music concert michaeljackson orianthi kennyortega kennyortega music documentary,/rnZ5uZHjdC5qGCgEaH6YSbWftnI.jpg,/5628NbgqDl6wgQ3XNfYbFE7qxnV.jpg
786,Almost Famous,Almost Famous Almost Famous autobiographical inspired film 15yearold hired Rolling Stone magazine follow interview rock band tour film growing up first love disappointment life rock star Experience it Enjoy it fall it hotelroom sandiego drugaddiction katehudson billycrudup francesmcdormand cameroncrowe drama music,/3rrkyLYbgLj84AYvjhdcJot4JPx.jpg,/AqLtFRKVX2G0ghMnMnQoSGan4pY.jpg
6477,Alvin and the Chipmunks,Alvin Chipmunks struggling songwriter named Dave Seville finds success comes across trio singing chipmunks mischievous leader Alvin brainy Simon chubby impressionable Theodore Get squeak on pop popstar recordproducer jasonlee davidcross cameronrichardson timhill comedy music family,/vRiB9uvcD0WYp7k2pAeWz9ukpuN.jpg,/lKkkogTlIQT8o83GFQZZ3CA9MzB.jpg
8818,Evita,Evita hit musical based life Evita Duarte Bmovie Argentinian actress eventually became wife Argentinian president dictator Juan PerÃ³n beloved hated woman Argentina Anticipated Motion Picture Event Year prostitute deification dancehallhostess madonna antoniobanderas jonathanpryce alanparker history drama music,/mVdQatilUGMtB6sV4FXA7O473UD.jpg,/aZtinn0RhlDMYQU0jlotEzJ3tJc.jpg
824,Moulin Rouge!,Moulin Rouge celebration love creative inspiration takes place infamous gaudy glamorous Parisian nightclub cusp 20th century young poet plunged heady world Moulin Rouge begins passionate affair clubs notorious beautiful star Laws Limits One Rule Never Fall Love duke musical writersblock nicolekidman ewanmcgregor johnleguizamo bazluhrmann drama music romance,/qH2Z5MXMwURxCcC5EBfSKjluzih.jpg,/vvcLSgiviCIU0J0UcwLqWdU8Iup.jpg
224141,Into the Woods,Woods woods filled magic fairy tale characters baker wife set end curse put neighbor spiteful witch careful wish for witch cinderella prince merylstreep emilyblunt jamescorden robmarshall fantasy comedy music,/k37bYqOUWMqhrfzmR8Mk9sy2jxH.jpg,/qF938YRj7RoYkjwOsXFDNYf907J.jpg
2148,The Cotton Club,Cotton Club story people frequented Harlems famous nightclubs The Cotton Club ran it jazz age era elegance violence action gambling stakes life death jazz jazzmusician musical richardgere gregoryhines dianelane francisfordcoppola music drama crime,/jgCsLhIRLKlvUy1p1iImCi0nPnX.jpg,/8vroa5RYUxD7Nv7vUGUoxZTyz7P.jpg
64328,The Muppets,Muppets Kermit Frog Muppets learn beloved theater slated demolition sympathetic human Gary puppet roommate Walter swoop help gang put show raise 10 million need save day Theyre closer think musical themuppets robot amyadams jasonsegel emilyblunt jamesbobin comedy family music,/rsNbxonO8gtylIXwiv7JeqwJ4Kb.jpg,/60PR4UC3D20dycVAoWadUzFio5R.jpg
4688,Across the Universe,Across Universe Musical based Beatles songbook set 60s England America Vietnam love story Lucy Jude intertwined antiwar movement social protests 60s need love riot protest musical evanrachelwood jimsturgess joeanderson julietaymor adventure drama music,/447c8Te3DXC46rQvDEixKGO4dS6.jpg,/wWINLezlSb2CXrpBlFXNKgDY8MG.jpg
9899,The Producers,Producers putting together another Broadway flop downonhisluck producer Max Bialystock teams timid accountant Leo Bloom getrichquick scheme put worlds worst show  cheating adolfhitler success matthewbroderick umathurman willferrell susanstroman comedy music,/nG0Bix2SH2SQcbAIGhb6yqTG5UH.jpg,/8PU4tUGUdrKujKwkUkw3M9ZrAaw.jpg
1677,Ray,Ray Born sharecropping plantation Northern Florida Ray Charles went blind seven Inspired fiercely independent mom insisted make way found calling gift behind piano keyboard Touring across Southern musical circuit soulful singer gained reputation exploded worldwide fame pioneered couping gospel country together extraordinary life story Ray Charles blackpeople soul countrymusic jamiefoxx kerrywashington reginaking taylorhackford drama music,/tSPC7sO2XYNL9QcMmK88tuUALL5.jpg,/crOry6huvXiX91i5fJhS4h684aA.jpg
209451,Jersey Boys,Jersey Boys director Clint Eastwood comes bigscreen version Tony Awardwinning musical Jersey Boys film tells story four young men wrong side tracks New Jersey came together form iconic 1960s rock group Four Seasons story trials triumphs accompanied songs influenced generation including âSherryâ âBig Girls Donât Cryâ âWalk Like Manâ âRag Dollâ many more  biography basedonplay christopherwalken vincentpiazza freyatingley clinteastwood music drama,/kz956Y83YtT6vTyg0Q40mzRe2UM.jpg,/zaSGESiqFLJXRsW92O0ScH3llPE.jpg
11172,Music and Lyrics,Music Lyrics washed singer given couple days compose charttopping hit aspiring teen sensation Though hes never written decent lyric life sparks offbeat younger woman flair words Share music someone love popstar song romanticcomedy drewbarrymore hughgrant scottporter marclawrence comedy music romance,/xcdA2WLBNcPXMQB9uA5DqqQvbwe.jpg,/cLZsdMMC3hoVQy9xwn3YJ4CR9Pd.jpg
10537,The Doors,Doors story famous influential 1960s rock band lead singer composer Jim Morrison Ultimate Story Sex Drugs  Rock N Roll hippie poetry sex valkilmer megryan kylemaclachlan oliverstone drama music,/x1LM3dzGuG6xOz0aT2e71o11vhu.jpg,/mJeQoCL4XOO0WnfZEpmLqHcJVJb.jpg
14655,Soul Men,Soul Men Two former backup soul singers Louis Floyd spoken 20 years reluctantly agree travel across country together reunion concert honor recentlydeceased lead singer Cleo beautiful young woman believed Floyds daughter accompanies new singer  duringcreditsstinger samuelljackson berniemac sharonleal malcolmdlee comedy music,/ewU8w8IPlAkauFutzSwYYFILiU8.jpg,/v6A68pZ2BWqxFMFdSuCCZBPPj8I.jpg
12508,Rock Star,Rock Star Rock Star tells story Chris Cole rock band called Steel Dragon Cole photocopier technician day lead singer Steel Dragon tribute band called Blood Pollution nightInternal struggles Steel Dragon band members culminate firing lead singer Bobby Beers starting recruitment sessions find new vocalist Loosely inspired true story heavy metal band Judas Priest story wanna got be rockstar success discontentednessanddispleasedness markwahlberg jenniferaniston jasonflemyng stephenherek music drama comedy,/8pRMweo9WA1MvYOLsD2hWyFpZ1V.jpg,/8eMbILwpFiro24LSmREjI4MGwEB.jpg
6575,Walk Hard: The Dewey Cox Story,Walk Hard Dewey Cox Story Singer Dewey Cox overcomes adversity become musical legend Life made tough Love made strong Music made hard musicrecord rockandroll pop johncreilly jennafischer timmeadows jakekasdan comedy music,/yfzNTre4BrEPw9UOpZky12N5nln.jpg,/axg73mVxiZcE9Pzynu2uj1TYIgj.jpg
85446,Step Up Revolution,Step Revolution Emily arrives Miami aspirations become professional dancer sparks Sean leader dance crew whose neighborhood threatened Emilys fathers development plans One Step Change World flashmob danceinstructor realestatedevelopment kathrynmccormick ryanguzman stephenboss scottspeer music drama romance,/ab9T58BlOPauWd9tMnK0HhwYY7u.jpg,/1RWL9614SMoYV7NSbkrGjAQE1EY.jpg
2054,Mr. Holland's Opus,Mr Hollands Opus 1965 passionate musician Glenn Holland takes day job high school music teacher convinced small obstacle road true calling writing historic opus decades roll composition unwritten generations students inspired teaching Holland must redefine lifes purpose Lives Changed One Changed Own composer mentor deafmute richarddreyfuss glenneheadly jaythomas stephenherek music drama family,/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,/oUptKQLatCgywVDx0ETVhq7knHt.jpg
10776,Little Shop of Horrors,Little Shop Horrors Seymour Krelborn nerdy orphan working Mushniks flower shop urban Skid Row harbors crush fellow coworker Audrey Fulquard berated Mr Mushnik daily One day Seymour seeking new mysterious plant finds mysterious unidentified plant calls Audrey II plant seems craving blood soon begins sing supper feed plants flower solareclipse florist rickmoranis ellengreene vincentgardenia frankoz horror comedy music,/iKkbN17OmFosaW6asCNZTTsyvpu.jpg,/eU5fW21apU2CJYlmzJHoWo09GmE.jpg
12763,Take the Lead,Take Lead former professional dancer volunteers teach dance New York public school system and background first clashes students tastes together create completely new style dance Based story ballroom dancer Pierre Dulane Never Follow dancingmaster dance musical antoniobanderas robbrown yayadacosta lizfriedlander music,/lUOxWI8cHhlZjVisL33O51LKZS1.jpg,/3I0ibLoqCBu3gCeN46wpnKL7gq6.jpg
239566,Get on Up,Get chronicle James Browns rise extreme poverty become one influential musicians history Funk Quit biography jamesbrown chadwickboseman nelsanellis danaykroyd tatetaylor drama music,/dVbGeU5agxFGcJnL5hk4uO8W7i2.jpg,/j3qoYRsQueTCvFhOVakVNhqmxRW.jpg
254470,Pitch Perfect 2,Pitch Perfect 2 Bellas back better ever humiliated front none President United States America Bellas taken AcaCircuit order clear name regain status Bellas take seemingly impossible task winning international competition American team ever won order accomplish monumental task need strengthen bonds friendship sisterhood blow away competition amazing acamagic new friends old rivals tagging along trip Bellas hopefully accomplish dreams Were back pitches music sequel singer annakendrick rebelwilson haileesteinfeld elizabethbanks comedy music,/fQaEGzFmvTYu3G641WV0Tg9auAt.jpg,/bWOfRV1Ubk9SWEDZDDjsmIUCcbZ.jpg
69,Walk the Line,Walk Line chronicle country music legend Johnny Cashs life early days Arkansas cotton farm rise fame Sun Records Memphis recorded alongside Elvis Presley Jerry Lee Lewis Carl Perkins Love burning thing germany prison musicrecord joaquinphoenix reesewitherspoon ginnifergoodwin jamesmangold drama music romance,/p8lPTjvjOjTfvC1E9pmMwcF9vkn.jpg,/pMBKzEotLUzk3NuQiyVjZEDlH70.jpg
