id,title,corpus,poster,backdrop
10764,Quantum of Solace,Quantum Solace Quantum Solace continues adventures James Bond Casino Royale Betrayed Vesper woman loved 007 fights urge make latest mission personal Pursuing determination uncover truth Bond interrogate Mr White reveals organization blackmailed Vesper far complex dangerous anyone imagined love hate justice revenge killing undercover secretagent danielcraig olgakurylenko mathieuamalric marcforster adventure action thriller,/e3DXXLJHGqMx9yYpXsql1XNljmM.jpg,/1tW2fJCE6vb7lAbBMOs3eYMuA7X.jpg
597,Titanic,Titanic 84 years later 101yearold woman named Rose DeWitt Bukater tells story granddaughter Lizzy Calvert Brock Lovett Lewis Bodine Bobby Buell Anatoly Mikailavich Keldysh life set April 10th 1912 ship called Titanic young Rose boards departing ship upperclass passengers mother Ruth DeWitt Bukater fiancÃ© Caledon Hockley Meanwhile drifter artist named Jack Dawson best friend Fabrizio De Rossi win thirdclass tickets ship game explains whole story departure death Titanic first last voyage April 15th 1912 220 morning Nothing Earth could come them shipwreck iceberg ship katewinslet leonardodicaprio francesfisher jamescameron drama romance thriller,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,/rzdPqYx7Um4FUZeD8wpXqjAUcEm.jpg
44833,Battleship,Battleship mankind beams radio signal space reply comes âPlanet Gâ form several alien crafts splash waters Hawaii Lieutenant Alex Hopper weapons officer assigned USS John Paul Jones part international naval coalition becomes worlds last hope survival engage hostile alien force unimaginable strength taking invaders Hopper must also try live potential brother fiancÃ©es father Admiral Shane expect him Battle Earth Begins Sea fight usnavy mindreading taylorkitsch alexanderskarsgÃ¥rd rihanna peterberg thriller action adventure,/9b0Im7SfedHiajTwzSL9zGyBI7M.jpg,/13FUpGdCRFBcMBAk3PJ5iIY5mFw.jpg
37724,Skyfall,Skyfall Bonds latest assignment goes gravely wrong agents around world exposed MI6 attacked forcing relocate agency events cause authority position challenged Gareth Mallory new Chairman Intelligence Security Committee MI6 compromised inside out left one ally trust Bond 007 takes shadows  aided field agent Eve  following trail mysterious Silva whose lethal hidden motives yet reveal themselves Think sins spy secretagent sociopath danielcraig judidench javierbardem sammendes action adventure thriller,/d0IVecFQvsGdSbnMAHqiYsNYaJT.jpg,/nJNMoX93HsjsexFdxWSX7oDDSPs.jpg
44912,Green Lantern,Green Lantern centuries small powerful force warriors called Green Lantern Corps sworn keep intergalactic order Green Lantern wears ring grants superpowers new enemy called Parallax threatens destroy balance power Universe fate fate Earth lie hands first human ever recruited darkest hour light dccomics transformation superhero ryanreynolds blakelively petersarsgaard martincampbell adventure action thriller,/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,/58r049aVTO1KjAYVuWJr0KgG5nY.jpg
534,Terminator Salvation,Terminator Salvation grown postapocalyptic 2018 John Connor must lead resistance humans increasingly dominating militaristic robots Marcus Wright appears existence confuses mission Connor tries determine whether Wright come future past  whether hes friend foe End Begins savingtheworld artificialintelligence prophecy christianbale samworthington antonyelchin mcg action sciencefiction thriller,/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg,/5tKiuZvvV1lic7v65rdoGPmoOvf.jpg
14869,G.I. Joe: The Rise of Cobra,GI Joe Rise Cobra Egyptian desert deep polar ice caps elite GI JOE team uses latest nextgeneration spy military equipment fight corrupt arms dealer Destro growing threat mysterious Cobra organization prevent plunging world chaos else fails dont terrorist secret hostage dennisquaid channingtatum marlonwayans stephensommers adventure action thriller,/mc9b25IAprHfsaOz0wTshOwGHcY.jpg,/vBV2nF3yqYrskq2y1bSSuAuGqcz.jpg
296,Terminator 3: Rise of the Machines,Terminator 3 Rise Machines 10 years since John Connor saved Earth Judgment Day hes living radar steering clear using anything Skynet trace is encounters TX robotic assassin ordered finish T1000 started Good thing Connors former nemesis Terminator back aid nowadult Connor â¦ like promised Machines Rise savingtheworld artificialintelligence manvsmachine arnoldschwarzenegger nickstahl clairedanes jonathanmostow action thriller sciencefiction,/qAnafzrd9Y5pVTWAP0tSDDMPzTR.jpg,/kbXMOnz2RhTSAbLtHX5hy5AXtwv.jpg
27205,Inception,Inception Cobb skilled thief commits corporate espionage infiltrating subconscious targets offered chance regain old life payment task considered impossible inception implantation another persons idea targets subconscious mind scene crime lossoflover dream kidnapping leonardodicaprio josephgordonlevitt ellenpage christophernolan action thriller sciencefiction,/edv5CZvWj09upOsy2Y6IwDhK8bt.jpg,/ztZ4vw151mw04Bg6rqJLQGBAmvn.jpg
9799,The Fast and the Furious,Fast Furious Domenic Toretto Los Angeles street racer suspected masterminding series bigrig hijackings undercover cop Brian OConner infiltrates Torettos iconoclastic crew falls Torettos sister must choose side gang LAPD Live life 14 mile time streetgang carrace undercover paulwalker vindiesel michellerodriguez robcohen action crime thriller,/gqY0ITBgT7A82poL9jv851qdnIb.jpg,/jY9ef5nqY4xIIMu3yzW3qamUCoi.jpg
