id,title,corpus,poster,backdrop
676,Pearl Harbor,Pearl Harbor lifelong friendship Rafe McCawley Danny Walker put ultimate test two ace fighter pilots become entangled love triangle beautiful Naval nurse Evelyn Johnson rivalry friendsturnedfoes immediately put hold find center Japans devastating attack Pearl Harbor Dec 7 1941 takes moment change history takes love change lives nurse patriotism hawaii benaffleck joshhartnett katebeckinsale michaelbay history romance war,/y8A0Cvp8WQmZ3bjbnsL53lY0dsC.jpg,/zv1xOEQzebKyku349qDZ085FZlO.jpg
1966,Alexander,Alexander Alexander King Macedonia leads legions giant Persian Empire defeating Persians leads army across known world venturing farther westerner ever gone way India greatest legend real aristotle egypt greece colinfarrell angelinajolie valkilmer oliverstone war history action,/jrwQu72sGwGqwE8Ijne89PSIvhp.jpg,/ySK5gxvXYnn55fjCIBeJVsG17RJ.jpg
652,Troy,Troy year 1250 BC late Bronze age two emerging nations begin clash Paris Trojan prince convinces Helen Queen Sparta leave husband Menelaus sail back Troy Menelaus finds wife taken Trojans asks brother Agamemnom help get back Agamemnon sees opportunity power set 1000 ships holding 50000 Greeks Troy help Achilles Greeks able fight never defeated Trojans passion honor destiny victory love brotherbrotherrelationship adultery mythology bradpitt orlandobloom ericbana wolfgangpetersen adventure drama war,/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg,/qZitv5zrSXfJafGThxmvbvTsuu5.jpg
616,The Last Samurai,Last Samurai Nathan Algren American hired instruct Japanese army ways modern warfare finds learning respect samurai honorable principles rule them Pressed destroy samurais way life name modernization open trade Algren decides become ultimate warrior fight right exist face enemy heart one man lies soul warrior japan warcrimes senseofguilt tomcruise kenwatanabe williamatherton edwardzwick drama action war,/lsasOSgYI85EHygtT5SvcxtZVYT.jpg,/4m0eLZzOr5W1BK9el9ASQrTwd0m.jpg
2024,The Patriot,Patriot proving field battle French Indian War Benjamin Martin wants nothing things preferring simple life farmer son Gabriel enlists army defend new nation America British Benjamin reluctantly returns old life protect son things worth fighting for rebel southernusa lossofson melgibson heathledger joelyrichardson rolandemmerich drama history war,/fWZd815QxUCUcrWQZwUkAp9ljG.jpg,/c9xSFZQtC4c16Vn5CMOaB1pGk9J.jpg
53182,300: Rise of an Empire,300 Rise Empire Based Frank Millers latest graphic novel Xerxes told breathtaking visual style blockbuster 300 new chapter epic saga takes action fresh battlefieldon seaas Greek general Themistokles attempts unite Greece leading charge change course war 300 Rise Empire pits Themistokles massive invading Persian forces led mortalturnedgod Xerxes Artemesia vengeful commander Persian navy Seize glory basedongraphicnovel ancientgreece duringcreditsstinger sullivanstapleton evagreen lenaheadey noammurro action war,/aOg92xVWjBRmALsHCJsz2lWnmsG.jpg,/Admlp6IYUI9UJEx451dvGldK7Mh.jpg
22972,Green Zone,Green Zone USled occupation Baghdad 2003 Chief Warrant Officer Roy Miller team Army inspectors dispatched find weapons mass destruction believed stockpiled Iraqi desert Rocketing one boobytrapped treacherous site next men search deadly chemical agents stumble instead upon elaborate coverup threatens invert purpose mission Chief Warrant Officer Roy Miller done following orders weaponofmassdestruction baghdad iraqiÂ  mattdamon gregkinnear brendangleeson paulgreengrass war action adventure,/czFIaeukSxNEccysQeys1PCkuOG.jpg,/3EE9h3xYxIastf5xVLbezH3eGps.jpg
76758,ééµåä¸éµ,ééµåä¸éµ Westerner finds refuge group women church Japans rape Nanking 1937 Posing priest attempts lead women safety  forcedprostitution childrape christianbale nini tongdawei zhangyimou drama history war,/pYltmnA1VDWl45EcVQoJYPsTpLW.jpg,/q8Ea7BIux9GevWePejuz8a1zHx8.jpg
855,Black Hawk Down,Black Hawk US Rangers elite Delta Force team attempt kidnap two underlings Somali warlord Black Hawk helicopters shot down Americans suffer heavy casualties facing intense fighting militia ground Leave Man Behind prisonersofwar wound somalia joshhartnett ewanmcgregor jasonisaacs ridleyscott action history war,/7fU5dSqKRL4XHeEUz62rCKBfYok.jpg,/dd11uT1rtjQfEwEAvWiNfXgzXtD.jpg
10733,The Alamo,Alamo Based 1836 standoff group Texan Tejano men led Davy Crockett Jim Bowie Mexican dictator Santa Annas forces Alamo San Antonio Texas never forget texas officer uprising dennisquaid billybobthornton jasonpatric johnleehancock western history war,/aZrWYkxCCwSPKp4VjVvn46uHbIX.jpg,/hz49d5AsQEVPhqvkIQnv5XKqSrX.jpg
