id,title,corpus,poster,backdrop
57201,The Lone Ranger,Lone Ranger Texas Rangers chase gang outlaws led Butch Cavendish gang ambushes Rangers seemingly killing all One survivor found however American Indian named Tonto nurses back health Ranger donning mask riding white stallion named Silver teams Tonto bring unscrupulous gang others ilk justice Never Take Mask texas horse survivor johnnydepp armiehammer williamfichtner goreverbinski action adventure western,/xRmsqvHnaWmrazJl9bTBqs4LAjp.jpg,/qksfforuQFh0faMQKgXIa6lCEh0.jpg
281957,The Revenant,Revenant 1820s frontiersman Hugh Glass sets path vengeance left dead bear mauling n One returned dead fathersonrelationship rape basedonnovel leonardodicaprio tomhardy willpoulter alejandrogonzÃ¡leziÃ±Ã¡rritu western drama adventure,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,/3uM41OT0RfBkE6Gb6U89LEskJBr.jpg
68718,Django Unchained,Django Unchained help German bounty hunter freed slave sets rescue wife brutal Mississippi plantation owner Life liberty pursuit vengeance bountyhunter hero plantation jamiefoxx christophwaltz leonardodicaprio quentintarantino drama western,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,/n2eUT4zQA2yYcKOgAFidgOyiFoH.jpg
10733,The Alamo,Alamo Based 1836 standoff group Texan Tejano men led Davy Crockett Jim Bowie Mexican dictator Santa Annas forces Alamo San Antonio Texas never forget texas officer uprising dennisquaid billybobthornton jasonpatric johnleehancock western history war,/aZrWYkxCCwSPKp4VjVvn46uHbIX.jpg,/hz49d5AsQEVPhqvkIQnv5XKqSrX.jpg
9023,Spirit: Stallion of the Cimarron,Spirit Stallion Cimarron wild stallion travels across frontiers Old West befriends young human finds true love mare Leader Hero Legend humanbeing freedom mustang mattdamon jamescromwell danielstudi kellyasbury western animation adventure,/cUgYrz4twiJ3QgVGpRfey984NIB.jpg,/b8hPBW0NJmiIVzvQjT3CwIpAdzl.jpg
2023,Hidalgo,Hidalgo Set 1890 story Pony Express courier travels Arabia compete horse Hidalgo dangerous race massive contest prize adventure sends pair around world Unbridled Unbroken Unbeaten horserace horse racehorse viggomortensen zuleikharobinson omarsharif joejohnston western adventure,/iGzENlBPYJEFWZnye4t3nqWSSp1.jpg,/sAiTihJ8bjEqg8nYUIlTQUnVXuj.jpg
12160,Wyatt Earp,Wyatt Earp Covering life times one Wests iconic heroes Wyatt Earp weaves intricate tale Earp friends family star studded cast sweeping cinematography authentic costumes Wyatt Earp led way Western revival 90s epic story love adventure lawless land gunslinger gambling sheriff kevincostner dennisquaid genehackman lawrencekasdan drama action western,/51LItgyecu2KMAtIchYogEykCIu.jpg,/gypNgEwOqchc5cLCYtcwlViDUH8.jpg
347969,The Ridiculous 6,Ridiculous 6 longlost outlaw father returns Tommy White Knife Stockburn goes adventurefilled journey across Old West five brothers  wildwest adamsandler taylorlautner stevebuscemi frankcoraci comedy western,/kPc80jywR5Nm2KIQjkY5i4VXSx4.jpg,/cB9XLza46oXuBtfuEUktThmQf6F.jpg
5176,3:10 to Yuma,310 Yuma Arizona late 1800s infamous outlaw Ben Wade vicious gang thieves murderers plagued Southern Railroad Wade captured Civil War veteran Dan Evans struggling survive droughtplagued ranch volunteers deliver alive 310 Yuma train take killer trial Time waits one man saloon hero liberationofprisoners russellcrowe christianbale loganlerman jamesmangold western,/voMB69AsLnPNmtfbrBl0lbeFKDH.jpg,/2eznGndOi8s9CGReAvcQ8PEULwm.jpg
20533,Jonah Hex,Jonah Hex Gunslinger Jonah Hex Josh Brolin appointed President Ulysses Grant track terrorist Quentin Turnbull John Malkovich former Confederate officer determined unleashing hell earth Jonah secures freedom accepting task also gets revenge man slayed wife child Megan Fox plays prostitute well Jonah Hexs love interst film Revenge gets ugly gunslinger usa dccomics joshbrolin johnmalkovich meganfox jimmyhayward action western drama,/1MpWjcCn8M0763QDoxcN0gXrc5q.jpg,/iNYe0BmPDAEQlChNYOfceGPNnq6.jpg
